Timestamp,Generation,AliveCount,AvgLength,MaxLength,Aggressiveness
2025-12-28 18:08:21,4456,18,1.67,12,0.2222
2025-12-28 18:08:21,4465,19,1.95,12,0.1053
2025-12-28 18:08:21,4469,15,2.53,12,0.1333
2025-12-28 18:08:21,4476,18,2.67,12,0.1667
2025-12-28 18:08:21,4479,15,3.00,12,0.0667
2025-12-28 18:08:21,4484,11,3.18,12,0.0000
2025-12-28 18:08:21,4490,16,2.38,12,0.0000
2025-12-28 18:08:21,4495,12,3.25,12,0.2500
2025-12-28 18:08:21,4498,19,2.68,12,0.2632
2025-12-28 18:08:21,4503,15,3.60,12,0.1333
2025-12-28 18:08:21,4506,13,4.23,12,0.0769
2025-12-28 18:08:21,4508,11,5.73,12,0.0000
2025-12-28 18:08:21,4510,20,3.70,12,0.0500
2025-12-28 18:08:21,4512,20,3.45,12,0.1500
2025-12-28 18:08:21,4519,13,5.38,13,0.0769
2025-12-28 18:08:21,4521,12,5.83,12,0.0000
2025-12-28 18:08:21,4522,12,5.92,12,0.0000
2025-12-28 18:08:21,4522,13,6.15,12,0.0000
2025-12-28 18:08:21,4522,15,5.67,12,0.0000
2025-12-28 18:08:21,4522,15,6.20,12,0.0000
2025-12-28 18:08:21,4522,15,6.53,12,0.0000
2025-12-28 18:08:22,4523,15,6.80,12,0.0000
2025-12-28 18:08:22,4523,16,6.06,12,0.0000
2025-12-28 18:08:22,4523,17,5.59,12,0.0000
2025-12-28 18:08:22,4524,16,6.19,12,0.0000
2025-12-28 18:08:22,4524,16,6.38,12,0.0000
2025-12-28 18:08:22,4528,14,6.43,12,0.0000
2025-12-28 18:08:22,4531,12,7.50,12,0.0000
2025-12-28 18:08:22,4531,15,6.07,12,0.0000
2025-12-28 18:08:22,4531,16,6.50,12,0.0625
2025-12-28 18:08:22,4532,16,6.56,12,0.0000
2025-12-28 18:08:22,4532,18,6.06,12,0.0000
2025-12-28 18:08:22,4532,19,6.21,12,0.0000
2025-12-28 18:08:22,4533,19,6.05,12,0.0000
2025-12-28 18:08:22,4533,19,6.68,12,0.0000
2025-12-28 18:08:22,4534,19,7.37,12,0.0000
2025-12-28 18:08:22,4534,21,7.05,12,0.0000
2025-12-28 18:08:22,4534,21,7.76,12,0.0000
2025-12-28 18:08:22,4535,22,7.32,12,0.0000
2025-12-28 18:08:22,4535,24,6.83,12,0.0417
2025-12-28 18:08:22,4535,24,7.54,12,0.0000
2025-12-28 18:08:22,4537,24,7.50,12,0.0000
2025-12-28 18:08:22,4538,27,6.59,13,0.0000
2025-12-28 18:08:22,4538,29,6.28,12,0.0000
2025-12-28 18:08:22,4538,30,6.60,12,0.0000
2025-12-28 18:08:22,4540,30,6.50,12,0.0000
2025-12-28 18:08:22,4541,31,6.65,12,0.0323
2025-12-28 18:08:22,4542,31,6.81,12,0.0000
2025-12-28 18:08:22,4542,32,7.22,12,0.0000
2025-12-28 18:08:22,4543,36,6.53,12,0.0278
2025-12-28 18:08:22,4543,36,7.36,12,0.0000
2025-12-28 18:08:22,4543,41,6.44,12,0.0000
2025-12-28 18:08:23,4544,44,5.80,12,0.0000
2025-12-28 18:08:23,4547,42,5.81,12,0.0000
2025-12-28 18:08:23,4549,40,6.40,12,0.0250
2025-12-28 18:08:23,4554,38,6.42,12,0.0263
2025-12-28 18:08:23,4556,38,6.26,12,0.0000
2025-12-28 18:08:23,4556,39,6.23,12,0.0000
2025-12-28 18:08:23,4557,39,6.62,12,0.0256
2025-12-28 18:08:23,4559,40,6.35,12,0.0000
2025-12-28 18:08:23,4563,39,6.10,12,0.0000
2025-12-28 18:08:23,4566,37,6.70,12,0.0000
2025-12-28 18:08:23,4566,40,6.55,12,0.0500
2025-12-28 18:08:23,4566,40,6.83,12,0.0000
2025-12-28 18:08:23,4568,38,7.08,12,0.0000
2025-12-28 18:08:23,4568,41,6.37,12,0.0000
2025-12-28 18:08:23,4568,43,6.60,12,0.0233
2025-12-28 18:08:23,4571,43,6.42,12,0.0000
2025-12-28 18:08:23,4572,43,6.67,12,0.0000
2025-12-28 18:08:23,4574,44,6.70,12,0.0227
2025-12-28 18:08:23,4580,39,7.33,12,0.0256
2025-12-28 18:08:23,4582,38,7.34,12,0.0000
2025-12-28 18:08:24,4584,37,7.51,12,0.0000
2025-12-28 18:08:24,4585,41,6.76,12,0.0000
2025-12-28 18:08:24,4585,43,6.74,12,0.0000
2025-12-28 18:08:24,4585,47,6.30,12,0.0213
2025-12-28 18:08:24,4586,48,6.33,12,0.0000
2025-12-28 18:08:24,4590,46,6.63,12,0.0217
2025-12-28 18:08:24,4593,45,6.96,12,0.0000
2025-12-28 18:08:24,4595,44,7.18,12,0.0227
2025-12-28 18:08:24,4595,48,6.88,12,0.0208
2025-12-28 18:08:24,4598,48,6.71,12,0.0417
2025-12-28 18:08:24,4603,44,7.20,12,0.0227
2025-12-28 18:08:24,4604,47,7.13,12,0.0000
2025-12-28 18:08:24,4606,49,6.59,12,0.0000
2025-12-28 18:08:24,4610,47,6.98,12,0.0000
2025-12-28 18:08:24,4611,49,7.10,12,0.0204
2025-12-28 18:08:25,4614,50,6.94,12,0.0000
2025-12-28 18:08:26,4614,53,6.87,12,0.0000
2025-12-28 18:08:27,4618,52,6.85,12,0.0000
2025-12-28 18:08:28,4620,54,6.94,12,0.0556
2025-12-28 18:08:28,4621,56,6.75,12,0.0000
2025-12-28 18:08:28,4622,56,6.77,12,0.0000
2025-12-28 18:08:28,4627,55,6.75,12,0.0000
2025-12-28 18:08:28,4627,58,6.76,12,0.0000
2025-12-28 18:08:28,4629,59,6.75,12,0.0000
2025-12-28 18:08:28,4630,59,6.85,12,0.0000
2025-12-28 18:08:28,4631,58,7.07,12,0.0000
2025-12-28 18:08:28,4634,60,6.65,12,0.0000
2025-12-28 18:08:28,4635,65,6.06,12,0.0000
2025-12-28 18:08:29,4636,68,5.75,12,0.0294
2025-12-28 18:08:29,4638,68,5.81,12,0.0147
2025-12-28 18:08:29,4639,68,6.01,12,0.0000
2025-12-28 18:08:29,4639,70,6.14,12,0.0000
2025-12-28 18:08:29,4639,70,6.59,12,0.0000
2025-12-28 18:08:29,4643,66,7.09,12,0.0000
2025-12-28 18:08:29,4643,70,6.51,12,0.0143
2025-12-28 18:08:29,4647,66,7.06,12,0.0000
2025-12-28 18:08:29,4649,67,6.69,12,0.0149
2025-12-28 18:08:29,4654,63,6.81,12,0.0000
2025-12-28 18:08:29,4655,63,6.89,12,0.0317
2025-12-28 18:08:29,4656,66,6.48,12,0.0000
2025-12-28 18:08:30,4660,66,6.41,12,0.0000
